Collection_code,N_samples,id
other,0,IL_East St. Louis_D8_D_2738
iNaturalist,0,IL_East St. Louis_D8_D_2738
ebird,66,IL_East St. Louis_D9_D_2739
other,5,IL_East St. Louis_D9_D_2739
iNaturalist,0,IL_East St. Louis_D9_D_2739
ebird,42,IL_Joliet_A1_A_2740
other,0,IL_Joliet_A1_A_2740
iNaturalist,0,IL_Joliet_A1_A_2740
ebird,21,IL_Joliet_B1_B_2741
other,0,IL_Joliet_B1_B_2741
iNaturalist,0,IL_Joliet_B1_B_2741
ebird,393,IL_Joliet_B2_B_2742
iNaturalist,1,IL_Joliet_B2_B_2742
other,0,IL_Joliet_B2_B_2742
ebird,2,IL_Joliet_B3_B_2743
other,0,IL_Joliet_B3_B_2743
iNaturalist,0,IL_Joliet_B3_B_2743
ebird,9,IL_Joliet_B4_B_2744
iNaturalist,2,IL_Joliet_B4_B_2744
other,0,IL_Joliet_B4_B_2744
ebird,4,IL_Joliet_B5_B_2745
other,0,IL_Joliet_B5_B_2745
iNaturalist,0,IL_Joliet_B5_B_2745
ebird,7,IL_Joliet_B6_B_2746
iNaturalist,1,IL_Joliet_B6_B_2746
other,19,IL_Joliet_B6_B_2746
iNaturalist,1,IL_Joliet_B7_B_2747
other,0,IL_Joliet_B7_B_2747
ebird,0,IL_Joliet_B7_B_2747
ebird,14,IL_Joliet_C1_C_2749
iNaturalist,1,IL_Joliet_C1_C_2749
other,0,IL_Joliet_C1_C_2749
other,17,IL_Joliet_C10_C_2750
iNaturalist,0,IL_Joliet_C10_C_2750
ebird,0,IL_Joliet_C10_C_2750
ebird,12,IL_Joliet_C11_C_2751
other,0,IL_Joliet_C11_C_2751
iNaturalist,0,IL_Joliet_C11_C_2751
ebird,3,IL_Joliet_C12_C_2752
iNaturalist,1,IL_Joliet_C12_C_2752
other,0,IL_Joliet_C12_C_2752
iNaturalist,1,IL_Joliet_C13_C_2754
other,0,IL_Joliet_C13_C_2754
ebird,0,IL_Joliet_C13_C_2754
ebird,126,IL_Joliet_C14_C_2755
other,0,IL_Joliet_C14_C_2755
iNaturalist,0,IL_Joliet_C14_C_2755
ebird,17,IL_Joliet_C2_C_2756
iNaturalist,1,IL_Joliet_C2_C_2756
other,0,IL_Joliet_C2_C_2756
ebird,13,IL_Joliet_C3_C_2757
other,0,IL_Joliet_C3_C_2757
iNaturalist,0,IL_Joliet_C3_C_2757
ebird,11,IL_Joliet_C4_C_2758
iNaturalist,6,IL_Joliet_C4_C_2758
other,0,IL_Joliet_C4_C_2758
ebird,24,IL_Joliet_C5_C_2759
other,0,IL_Joliet_C5_C_2759
iNaturalist,0,IL_Joliet_C5_C_2759
other,0,IL_Joliet_C6_C_2760
iNaturalist,0,IL_Joliet_C6_C_2760
ebird,0,IL_Joliet_C6_C_2760
ebird,16,IL_Joliet_C6_C_2761
other,0,IL_Joliet_C6_C_2761
iNaturalist,0,IL_Joliet_C6_C_2761
ebird,46,IL_Joliet_C7_C_2762
iNaturalist,3,IL_Joliet_C7_C_2762
other,0,IL_Joliet_C7_C_2762
ebird,8,IL_Joliet_C8_C_2763
other,0,IL_Joliet_C8_C_2763
iNaturalist,0,IL_Joliet_C8_C_2763
iNaturalist,1,IL_Joliet_C8_C_2764
other,0,IL_Joliet_C8_C_2764
ebird,0,IL_Joliet_C8_C_2764
ebird,9,IL_Joliet_C9_C_2765
other,0,IL_Joliet_C9_C_2765
iNaturalist,0,IL_Joliet_C9_C_2765
other,0,IL_Joliet_D1_D_2767
iNaturalist,0,IL_Joliet_D1_D_2767
ebird,0,IL_Joliet_D1_D_2767
iNaturalist,14,IL_Joliet_D4_D_2770
other,0,IL_Joliet_D4_D_2770
ebird,0,IL_Joliet_D4_D_2770
ebird,28,IL_Joliet_D5_D_2771
other,4,IL_Joliet_D5_D_2771
iNaturalist,0,IL_Joliet_D5_D_2771
ebird,428,IL_Joliet_D6_D_2772
other,0,IL_Joliet_D6_D_2772
iNaturalist,0,IL_Joliet_D6_D_2772
ebird,1,IL_Joliet_D7_D_2773
other,0,IL_Joliet_D7_D_2773
iNaturalist,0,IL_Joliet_D7_D_2773
ebird,2261,IL_Joliet_D9_D_2775
iNaturalist,2,IL_Joliet_D9_D_2775
other,51,IL_Joliet_D9_D_2775
ebird,171,IL_Peoria_A1_A_2776
iNaturalist,1,IL_Peoria_A1_A_2776
other,4,IL_Peoria_A1_A_2776
ebird,9,IL_Peoria_A2_A_2777
other,0,IL_Peoria_A2_A_2777
iNaturalist,0,IL_Peoria_A2_A_2777
ebird,2467,IL_Peoria_A3_A_2778
other,0,IL_Peoria_A3_A_2778
iNaturalist,0,IL_Peoria_A3_A_2778
ebird,137,IL_Peoria_A4_A_2779
other,0,IL_Peoria_A4_A_2779
iNaturalist,0,IL_Peoria_A4_A_2779
ebird,6,IL_Peoria_B1_B_2780
other,0,IL_Peoria_B1_B_2780
iNaturalist,0,IL_Peoria_B1_B_2780
iNaturalist,18,IL_Peoria_B2_B_2781
other,0,IL_Peoria_B2_B_2781
ebird,0,IL_Peoria_B2_B_2781
ebird,25,IL_Peoria_B4_B_2783
iNaturalist,4,IL_Peoria_B4_B_2783
other,0,IL_Peoria_B4_B_2783
ebird,37,IL_Peoria_B5_B_2784
iNaturalist,1,IL_Peoria_B5_B_2784
other,0,IL_Peoria_B5_B_2784
ebird,314,IL_Peoria_B6_B_2785
iNaturalist,1,IL_Peoria_B6_B_2785
other,0,IL_Peoria_B6_B_2785
ebird,304,IL_Peoria_C1_C_2786
iNaturalist,1,IL_Peoria_C1_C_2786
other,0,IL_Peoria_C1_C_2786
ebird,42,IL_Peoria_C2_C_2787
other,0,IL_Peoria_C2_C_2787
iNaturalist,0,IL_Peoria_C2_C_2787
ebird,81,IL_Peoria_C3_C_2788
iNaturalist,1,IL_Peoria_C3_C_2788
other,0,IL_Peoria_C3_C_2788
ebird,30,IL_Peoria_C4_C_2789
other,0,IL_Peoria_C4_C_2789
iNaturalist,0,IL_Peoria_C4_C_2789
iNaturalist,1,IL_Peoria_C5_C_2790
other,1,IL_Peoria_C5_C_2790
ebird,0,IL_Peoria_C5_C_2790
ebird,1846,IL_Peoria_C5_C_2791
iNaturalist,2,IL_Peoria_C5_C_2791
other,0,IL_Peoria_C5_C_2791
ebird,21,IL_Peoria_C8_C_2794
other,0,IL_Peoria_C8_C_2794
iNaturalist,0,IL_Peoria_C8_C_2794
iNaturalist,1,IL_Peoria_C8_C_2795
other,0,IL_Peoria_C8_C_2795
ebird,0,IL_Peoria_C8_C_2795
ebird,111,IL_Peoria_C9_C_2796
other,0,IL_Peoria_C9_C_2796
iNaturalist,0,IL_Peoria_C9_C_2796
ebird,26,IL_Peoria_D1_D_2798
other,0,IL_Peoria_D1_D_2798
iNaturalist,0,IL_Peoria_D1_D_2798
ebird,2,IL_Peoria_D2_D_2799
other,0,IL_Peoria_D2_D_2799
iNaturalist,0,IL_Peoria_D2_D_2799
ebird,36,IL_Peoria_D3_D_2800
other,0,IL_Peoria_D3_D_2800
iNaturalist,0,IL_Peoria_D3_D_2800
ebird,22,IL_Peoria_D4_D_2801
other,0,IL_Peoria_D4_D_2801
iNaturalist,0,IL_Peoria_D4_D_2801
ebird,7,IL_Rockford_A1_A_2803
iNaturalist,1,IL_Rockford_A1_A_2803
other,0,IL_Rockford_A1_A_2803
ebird,25,IL_Rockford_A4_A_2806
other,0,IL_Rockford_A4_A_2806
iNaturalist,0,IL_Rockford_A4_A_2806
iNaturalist,2,IL_Rockford_B1_B_2809
other,1,IL_Rockford_B1_B_2809
ebird,0,IL_Rockford_B1_B_2809
ebird,1,IL_Rockford_B1_B_2810
other,0,IL_Rockford_B1_B_2810
iNaturalist,0,IL_Rockford_B1_B_2810
ebird,1,IL_Rockford_B2_B_2811
iNaturalist,4,IL_Rockford_B2_B_2811
other,0,IL_Rockford_B2_B_2811
ebird,3386,IL_Rockford_B3_B_2812
other,0,IL_Rockford_B3_B_2812
iNaturalist,0,IL_Rockford_B3_B_2812
ebird,4029,IL_Rockford_B4_B_2813
other,107,IL_Rockford_B4_B_2813
iNaturalist,0,IL_Rockford_B4_B_2813
other,0,IL_Rockford_B5_B_2815
iNaturalist,0,IL_Rockford_B5_B_2815
ebird,0,IL_Rockford_B5_B_2815
ebird,36,IL_Rockford_B5_B_2816
iNaturalist,3,IL_Rockford_B5_B_2816
other,0,IL_Rockford_B5_B_2816
iNaturalist,2,IL_Rockford_B6_B_2817
other,0,IL_Rockford_B6_B_2817
ebird,0,IL_Rockford_B6_B_2817
ebird,2,IL_Rockford_C1_C_2818
other,0,IL_Rockford_C1_C_2818
iNaturalist,0,IL_Rockford_C1_C_2818
ebird,23,IL_Rockford_C2_C_2819
iNaturalist,2,IL_Rockford_C2_C_2819
other,0,IL_Rockford_C2_C_2819
ebird,140,IL_Rockford_C3_C_2820
iNaturalist,6,IL_Rockford_C3_C_2820
other,0,IL_Rockford_C3_C_2820
other,0,IL_Rockford_C4_C_2821
iNaturalist,0,IL_Rockford_C4_C_2821
ebird,0,IL_Rockford_C4_C_2821
ebird,28,IL_Rockford_C5_C_2822
iNaturalist,2,IL_Rockford_C5_C_2822
other,0,IL_Rockford_C5_C_2822
ebird,25,IL_Rockford_C6_C_2823
other,0,IL_Rockford_C6_C_2823
iNaturalist,0,IL_Rockford_C6_C_2823
ebird,2,IL_Rockford_C7_C_2824
other,0,IL_Rockford_C7_C_2824
iNaturalist,0,IL_Rockford_C7_C_2824
ebird,197,IL_Rockford_C8_C_2825
iNaturalist,7,IL_Rockford_C8_C_2825
other,0,IL_Rockford_C8_C_2825
ebird,26,IL_Rockford_C9_C_2826
other,0,IL_Rockford_C9_C_2826
iNaturalist,0,IL_Rockford_C9_C_2826
other,0,IL_Rockford_D1_D_2827
iNaturalist,0,IL_Rockford_D1_D_2827
ebird,0,IL_Rockford_D1_D_2827
ebird,15,IL_Rockford_D1_D_2828
other,0,IL_Rockford_D1_D_2828
iNaturalist,0,IL_Rockford_D1_D_2828
ebird,3,IL_Rockford_D10_D_2830
other,0,IL_Rockford_D10_D_2830
iNaturalist,0,IL_Rockford_D10_D_2830
ebird,7,IL_Rockford_D10_D_2832
other,0,IL_Rockford_D10_D_2832
iNaturalist,0,IL_Rockford_D10_D_2832
iNaturalist,1,IL_Rockford_D10_D_2833
other,0,IL_Rockford_D10_D_2833
ebird,0,IL_Rockford_D10_D_2833
ebird,13,IL_Rockford_D10_D_2836
other,0,IL_Rockford_D10_D_2836
iNaturalist,0,IL_Rockford_D10_D_2836
other,3,IL_Rockford_D2_D_2837
iNaturalist,0,IL_Rockford_D2_D_2837
ebird,0,IL_Rockford_D2_D_2837
ebird,4,IL_Rockford_D3_D_2838
other,0,IL_Rockford_D3_D_2838
iNaturalist,0,IL_Rockford_D3_D_2838
other,0,IL_Rockford_D4_D_2839
iNaturalist,0,IL_Rockford_D4_D_2839
ebird,0,IL_Rockford_D4_D_2839
other,0,IL_Rockford_D5_D_2841
iNaturalist,0,IL_Rockford_D5_D_2841
ebird,0,IL_Rockford_D5_D_2841
ebird,18,IL_Rockford_D6_D_2842
iNaturalist,1,IL_Rockford_D6_D_2842
other,0,IL_Rockford_D6_D_2842
ebird,16,IL_Rockford_D7_D_2843
other,0,IL_Rockford_D7_D_2843
iNaturalist,0,IL_Rockford_D7_D_2843
other,0,IL_Rockford_D8_D_2844
iNaturalist,0,IL_Rockford_D8_D_2844
ebird,0,IL_Rockford_D8_D_2844
ebird,37,IL_Rockford_D8_D_2845
other,0,IL_Rockford_D8_D_2845
iNaturalist,0,IL_Rockford_D8_D_2845
ebird,453,IL_Rockford_D9_D_2846
iNaturalist,33,IL_Rockford_D9_D_2846
other,0,IL_Rockford_D9_D_2846
ebird,69,IL_Springfield_A1_A_2848
other,0,IL_Springfield_A1_A_2848
iNaturalist,0,IL_Springfield_A1_A_2848
ebird,56,IL_Springfield_A2_A_2849
other,0,IL_Springfield_A2_A_2849
iNaturalist,0,IL_Springfield_A2_A_2849
ebird,764,IL_Springfield_A3_A_2850
other,0,IL_Springfield_A3_A_2850
iNaturalist,0,IL_Springfield_A3_A_2850
ebird,1094,IL_Springfield_A4_A_2851
other,0,IL_Springfield_A4_A_2851
iNaturalist,0,IL_Springfield_A4_A_2851
ebird,147,IL_Springfield_B2_B_2853
other,0,IL_Springfield_B2_B_2853
iNaturalist,0,IL_Springfield_B2_B_2853
ebird,19,IL_Springfield_B3_B_2854
other,1,IL_Springfield_B3_B_2854
iNaturalist,0,IL_Springfield_B3_B_2854
ebird,242,IL_Springfield_B4_B_2855
iNaturalist,3,IL_Springfield_B4_B_2855
other,0,IL_Springfield_B4_B_2855
ebird,19,IL_Springfield_B5_B_2856
other,0,IL_Springfield_B5_B_2856
iNaturalist,0,IL_Springfield_B5_B_2856
ebird,84,IL_Springfield_C3_C_2859
other,0,IL_Springfield_C3_C_2859
iNaturalist,0,IL_Springfield_C3_C_2859
ebird,1,IL_Springfield_C4_C_2860
other,0,IL_Springfield_C4_C_2860
iNaturalist,0,IL_Springfield_C4_C_2860
ebird,68,IL_Springfield_C5_C_2861
other,0,IL_Springfield_C5_C_2861
iNaturalist,0,IL_Springfield_C5_C_2861
ebird,11,IL_Springfield_C6_C_2862
other,0,IL_Springfield_C6_C_2862
iNaturalist,0,IL_Springfield_C6_C_2862
ebird,12,IL_Springfield_C7_C_2863
other,0,IL_Springfield_C7_C_2863
iNaturalist,0,IL_Springfield_C7_C_2863
ebird,15,IL_Springfield_C7_C_2864
other,0,IL_Springfield_C7_C_2864
iNaturalist,0,IL_Springfield_C7_C_2864
ebird,15,IL_Springfield_D1_D_2867
other,0,IL_Springfield_D1_D_2867
iNaturalist,0,IL_Springfield_D1_D_2867
ebird,6,IL_Springfield_D10_D_2868
other,0,IL_Springfield_D10_D_2868
iNaturalist,0,IL_Springfield_D10_D_2868
ebird,1,IL_Springfield_D11_D_2869
other,0,IL_Springfield_D11_D_2869
iNaturalist,0,IL_Springfield_D11_D_2869
ebird,85,IL_Springfield_D4_D_2874
other,0,IL_Springfield_D4_D_2874
iNaturalist,0,IL_Springfield_D4_D_2874
other,0,IL_Springfield_D6_D_2876
iNaturalist,0,IL_Springfield_D6_D_2876
ebird,0,IL_Springfield_D6_D_2876
other,0,IL_Springfield_D7_D_2877
iNaturalist,0,IL_Springfield_D7_D_2877
ebird,0,IL_Springfield_D7_D_2877
ebird,6,IL_Springfield_D7-A_D_2878
other,0,IL_Springfield_D7-A_D_2878
iNaturalist,0,IL_Springfield_D7-A_D_2878
ebird,16,IL_Springfield_D8_D_2880
iNaturalist,1,IL_Springfield_D8_D_2880
other,0,IL_Springfield_D8_D_2880
ebird,10,IL_Springfield_D9_D_2881
other,0,IL_Springfield_D9_D_2881
iNaturalist,0,IL_Springfield_D9_D_2881
ebird,242,IN_Evansville_A1_A_2882
iNaturalist,1,IN_Evansville_A1_A_2882
other,0,IN_Evansville_A1_A_2882
ebird,42,IN_Evansville_A2_A_2883
other,0,IN_Evansville_A2_A_2883
iNaturalist,0,IN_Evansville_A2_A_2883
other,1,IN_Evansville_B1_B_2884
iNaturalist,0,IN_Evansville_B1_B_2884
ebird,0,IN_Evansville_B1_B_2884
ebird,1,IN_Evansville_B2_B_2885
other,0,IN_Evansville_B2_B_2885
iNaturalist,0,IN_Evansville_B2_B_2885
iNaturalist,1,IN_Evansville_B3_B_2886
other,0,IN_Evansville_B3_B_2886
ebird,0,IN_Evansville_B3_B_2886
ebird,4,IN_Evansville_C1_C_2887
other,0,IN_Evansville_C1_C_2887
iNaturalist,0,IN_Evansville_C1_C_2887
ebird,16,IN_Evansville_C1_C_2888
other,0,IN_Evansville_C1_C_2888
iNaturalist,0,IN_Evansville_C1_C_2888
ebird,15,IN_Evansville_C1_C_2889
other,0,IN_Evansville_C1_C_2889
iNaturalist,0,IN_Evansville_C1_C_2889
ebird,717,IN_Evansville_C1_C_2890
other,0,IN_Evansville_C1_C_2890
iNaturalist,0,IN_Evansville_C1_C_2890
ebird,117,IN_Evansville_C10_C_2891
other,0,IN_Evansville_C10_C_2891
iNaturalist,0,IN_Evansville_C10_C_2891
ebird,10,IN_Evansville_C11_C_2892
other,0,IN_Evansville_C11_C_2892
iNaturalist,0,IN_Evansville_C11_C_2892
ebird,95,IN_Evansville_C12_C_2893
iNaturalist,1,IN_Evansville_C12_C_2893
other,0,IN_Evansville_C12_C_2893
ebird,62,IN_Evansville_C2_C_2894
other,0,IN_Evansville_C2_C_2894
iNaturalist,0,IN_Evansville_C2_C_2894
ebird,11,IN_Evansville_C3_C_2895
other,0,IN_Evansville_C3_C_2895
iNaturalist,0,IN_Evansville_C3_C_2895
ebird,201,IN_Evansville_C4_C_2896
iNaturalist,1,IN_Evansville_C4_C_2896
other,0,IN_Evansville_C4_C_2896
ebird,13,IN_Evansville_C5_C_2897
other,0,IN_Evansville_C5_C_2897
iNaturalist,0,IN_Evansville_C5_C_2897
ebird,71,IN_Evansville_C6_C_2898
iNaturalist,1,IN_Evansville_C6_C_2898
other,0,IN_Evansville_C6_C_2898
ebird,94,IN_Evansville_C7_C_2899
iNaturalist,1,IN_Evansville_C7_C_2899
other,0,IN_Evansville_C7_C_2899
ebird,67,IN_Evansville_C9_C_2901
other,0,IN_Evansville_C9_C_2901
iNaturalist,0,IN_Evansville_C9_C_2901
ebird,40,IN_Evansville_D1_D_2902
other,0,IN_Evansville_D1_D_2902
iNaturalist,0,IN_Evansville_D1_D_2902
other,0,IN_Evansville_D2_D_2903
iNaturalist,0,IN_Evansville_D2_D_2903
ebird,0,IN_Evansville_D2_D_2903
ebird,69,IN_Evansville_D3_D_2904
other,0,IN_Evansville_D3_D_2904
iNaturalist,0,IN_Evansville_D3_D_2904
other,0,IN_Evansville_D4_D_2905
iNaturalist,0,IN_Evansville_D4_D_2905
ebird,0,IN_Evansville_D4_D_2905
ebird,995,IN_Evansville_D5_D_2906
iNaturalist,10,IN_Evansville_D5_D_2906
other,0,IN_Evansville_D5_D_2906
ebird,4672,IN_Evansville_D6_D_2907
iNaturalist,1,IN_Evansville_D6_D_2907
other,5,IN_Evansville_D6_D_2907
ebird,94,IN_Evansville_D7_D_2908
iNaturalist,3,IN_Evansville_D7_D_2908
other,0,IN_Evansville_D7_D_2908
iNaturalist,3,IN_Fort Wayne_A1_A_2909
other,0,IN_Fort Wayne_A1_A_2909
ebird,0,IN_Fort Wayne_A1_A_2909
ebird,1,IN_Fort Wayne_A2_A_2910
other,0,IN_Fort Wayne_A2_A_2910
iNaturalist,0,IN_Fort Wayne_A2_A_2910
ebird,166,IN_Fort Wayne_A3_A_2911
other,0,IN_Fort Wayne_A3_A_2911
iNaturalist,0,IN_Fort Wayne_A3_A_2911
other,0,IN_Fort Wayne_A4_A_2912
iNaturalist,0,IN_Fort Wayne_A4_A_2912
ebird,0,IN_Fort Wayne_A4_A_2912
ebird,59,IN_Fort Wayne_A5_A_2913
other,0,IN_Fort Wayne_A5_A_2913
iNaturalist,0,IN_Fort Wayne_A5_A_2913
ebird,11,IN_Fort Wayne_B11_B_2916
other,0,IN_Fort Wayne_B11_B_2916
iNaturalist,0,IN_Fort Wayne_B11_B_2916
ebird,1309,IN_Fort Wayne_B12_B_2917
iNaturalist,6,IN_Fort Wayne_B12_B_2917
other,0,IN_Fort Wayne_B12_B_2917
other,0,IN_Fort Wayne_B14_B_2919
iNaturalist,0,IN_Fort Wayne_B14_B_2919
ebird,0,IN_Fort Wayne_B14_B_2919
iNaturalist,1,IN_Fort Wayne_B2_B_2921
other,0,IN_Fort Wayne_B2_B_2921
ebird,0,IN_Fort Wayne_B2_B_2921
ebird,5,IN_Fort Wayne_B4_B_2923
other,0,IN_Fort Wayne_B4_B_2923
iNaturalist,0,IN_Fort Wayne_B4_B_2923
ebird,112,IN_Fort Wayne_B5_B_2924
iNaturalist,2,IN_Fort Wayne_B5_B_2924
other,0,IN_Fort Wayne_B5_B_2924
other,0,IN_Fort Wayne_B6_B_2925
iNaturalist,0,IN_Fort Wayne_B6_B_2925
ebird,0,IN_Fort Wayne_B6_B_2925
ebird,3,IN_Fort Wayne_B7_B_2926
other,0,IN_Fort Wayne_B7_B_2926
iNaturalist,0,IN_Fort Wayne_B7_B_2926
other,0,IN_Fort Wayne_B8_B_2927
iNaturalist,0,IN_Fort Wayne_B8_B_2927
ebird,0,IN_Fort Wayne_B8_B_2927
ebird,1,IN_Fort Wayne_B9_B_2928
other,0,IN_Fort Wayne_B9_B_2928
iNaturalist,0,IN_Fort Wayne_B9_B_2928
ebird,80,IN_Fort Wayne_C10_C_2930
other,0,IN_Fort Wayne_C10_C_2930
iNaturalist,0,IN_Fort Wayne_C10_C_2930
ebird,2,IN_Fort Wayne_C11_C_2932
other,0,IN_Fort Wayne_C11_C_2932
iNaturalist,0,IN_Fort Wayne_C11_C_2932
ebird,3,IN_Fort Wayne_C11_C_2933
other,0,IN_Fort Wayne_C11_C_2933
iNaturalist,0,IN_Fort Wayne_C11_C_2933
ebird,39,IN_Fort Wayne_C11_C_2934
other,6,IN_Fort Wayne_C11_C_2934
iNaturalist,0,IN_Fort Wayne_C11_C_2934
ebird,1,IN_Fort Wayne_C11_C_2935
other,0,IN_Fort Wayne_C11_C_2935
iNaturalist,0,IN_Fort Wayne_C11_C_2935
iNaturalist,1,IN_Fort Wayne_C12_C_2936
other,0,IN_Fort Wayne_C12_C_2936
ebird,0,IN_Fort Wayne_C12_C_2936
iNaturalist,3,IN_Fort Wayne_C13_C_2939
other,0,IN_Fort Wayne_C13_C_2939
ebird,0,IN_Fort Wayne_C13_C_2939
iNaturalist,1,IN_Fort Wayne_C15_C_2941
other,0,IN_Fort Wayne_C15_C_2941
ebird,0,IN_Fort Wayne_C15_C_2941
ebird,11,IN_Fort Wayne_C17_C_2944
other,0,IN_Fort Wayne_C17_C_2944
iNaturalist,0,IN_Fort Wayne_C17_C_2944
ebird,181,IN_Fort Wayne_C18_C_2945
iNaturalist,2,IN_Fort Wayne_C18_C_2945
other,0,IN_Fort Wayne_C18_C_2945
ebird,601,IN_Fort Wayne_C19_C_2946
other,0,IN_Fort Wayne_C19_C_2946
iNaturalist,0,IN_Fort Wayne_C19_C_2946
ebird,20,IN_Fort Wayne_C3_C_2948
other,0,IN_Fort Wayne_C3_C_2948
iNaturalist,0,IN_Fort Wayne_C3_C_2948
ebird,88,IN_Fort Wayne_C3_C_2949
iNaturalist,2,IN_Fort Wayne_C3_C_2949
other,0,IN_Fort Wayne_C3_C_2949
ebird,4,IN_Fort Wayne_C4_C_2950
other,0,IN_Fort Wayne_C4_C_2950
iNaturalist,0,IN_Fort Wayne_C4_C_2950
ebird,1,IN_Fort Wayne_C5_C_2951
other,0,IN_Fort Wayne_C5_C_2951
iNaturalist,0,IN_Fort Wayne_C5_C_2951
ebird,47,IN_Fort Wayne_C5_C_2952
other,0,IN_Fort Wayne_C5_C_2952
iNaturalist,0,IN_Fort Wayne_C5_C_2952
ebird,1,IN_Fort Wayne_C6_C_2953
other,0,IN_Fort Wayne_C6_C_2953
iNaturalist,0,IN_Fort Wayne_C6_C_2953
ebird,13,IN_Fort Wayne_C7_C_2954
iNaturalist,2,IN_Fort Wayne_C7_C_2954
other,0,IN_Fort Wayne_C7_C_2954
ebird,2289,IN_Fort Wayne_C8_C_2955
other,0,IN_Fort Wayne_C8_C_2955
iNaturalist,0,IN_Fort Wayne_C8_C_2955
ebird,26,IN_Fort Wayne_C8_C_2956
other,0,IN_Fort Wayne_C8_C_2956
iNaturalist,0,IN_Fort Wayne_C8_C_2956
other,0,IN_Fort Wayne_C9_C_2957
iNaturalist,0,IN_Fort Wayne_C9_C_2957
ebird,0,IN_Fort Wayne_C9_C_2957
ebird,1,IN_Fort Wayne_D1_D_2958
other,0,IN_Fort Wayne_D1_D_2958
iNaturalist,0,IN_Fort Wayne_D1_D_2958
other,0,IN_Fort Wayne_D3_D_2960
iNaturalist,0,IN_Fort Wayne_D3_D_2960
ebird,0,IN_Fort Wayne_D3_D_2960
other,0,IN_Fort Wayne_D3_D_2961
iNaturalist,0,IN_Fort Wayne_D3_D_2961
ebird,0,IN_Fort Wayne_D3_D_2961
other,0,IN_Fort Wayne_D5_D_2963
iNaturalist,0,IN_Fort Wayne_D5_D_2963
ebird,0,IN_Fort Wayne_D5_D_2963
ebird,1,IN_Fort Wayne_NA_C_2966
iNaturalist,1,IN_Fort Wayne_NA_C_2966
other,0,IN_Fort Wayne_NA_C_2966
ebird,3249,IN_Indianapolis_A1_A_2968
iNaturalist,22,IN_Indianapolis_A1_A_2968
other,128,IN_Indianapolis_A1_A_2968
ebird,13216,IN_Indianapolis_A2_A_2969
iNaturalist,14,IN_Indianapolis_A2_A_2969
other,54,IN_Indianapolis_A2_A_2969
other,0,IN_Indianapolis_A3_A_2970
iNaturalist,0,IN_Indianapolis_A3_A_2970
ebird,0,IN_Indianapolis_A3_A_2970
ebird,11,IN_Indianapolis_A4_A_2971
iNaturalist,1,IN_Indianapolis_A4_A_2971
other,0,IN_Indianapolis_A4_A_2971
ebird,1401,IN_Indianapolis_A5_A_2972
iNaturalist,1,IN_Indianapolis_A5_A_2972
other,1,IN_Indianapolis_A5_A_2972
ebird,607,IN_Indianapolis_B1_B_2973
iNaturalist,3,IN_Indianapolis_B1_B_2973
other,0,IN_Indianapolis_B1_B_2973
ebird,47,IN_Indianapolis_B1_B_2974
other,0,IN_Indianapolis_B1_B_2974
iNaturalist,0,IN_Indianapolis_B1_B_2974
ebird,10,IN_Indianapolis_B10_B_2975
iNaturalist,1,IN_Indianapolis_B10_B_2975
other,0,IN_Indianapolis_B10_B_2975
ebird,5,IN_Indianapolis_B11_B_2976
other,0,IN_Indianapolis_B11_B_2976
iNaturalist,0,IN_Indianapolis_B11_B_2976
ebird,3919,IN_Indianapolis_B12_B_2977
iNaturalist,11,IN_Indianapolis_B12_B_2977
other,0,IN_Indianapolis_B12_B_2977
ebird,5,IN_Indianapolis_B13_B_2978
other,0,IN_Indianapolis_B13_B_2978
iNaturalist,0,IN_Indianapolis_B13_B_2978
ebird,225,IN_Indianapolis_B14_B_2979
iNaturalist,4,IN_Indianapolis_B14_B_2979
other,0,IN_Indianapolis_B14_B_2979
ebird,37,IN_Indianapolis_B15_B_2980
iNaturalist,3,IN_Indianapolis_B15_B_2980
other,0,IN_Indianapolis_B15_B_2980
ebird,4,IN_Indianapolis_B16_B_2981
iNaturalist,1,IN_Indianapolis_B16_B_2981
other,0,IN_Indianapolis_B16_B_2981
ebird,33,IN_Indianapolis_B16_B_2982
iNaturalist,3,IN_Indianapolis_B16_B_2982
other,0,IN_Indianapolis_B16_B_2982
ebird,334,IN_Indianapolis_B17_B_2983
iNaturalist,4,IN_Indianapolis_B17_B_2983
other,10,IN_Indianapolis_B17_B_2983
ebird,91,IN_Indianapolis_B2_B_2984
iNaturalist,6,IN_Indianapolis_B2_B_2984
other,0,IN_Indianapolis_B2_B_2984
ebird,31,IN_Indianapolis_B3_B_2985
iNaturalist,5,IN_Indianapolis_B3_B_2985
other,0,IN_Indianapolis_B3_B_2985
other,0,IN_Indianapolis_B4_B_2986
iNaturalist,0,IN_Indianapolis_B4_B_2986
ebird,0,IN_Indianapolis_B4_B_2986
ebird,5,IN_Indianapolis_B5_B_2987
other,0,IN_Indianapolis_B5_B_2987
iNaturalist,0,IN_Indianapolis_B5_B_2987
ebird,108,IN_Indianapolis_B6_B_2988
iNaturalist,2,IN_Indianapolis_B6_B_2988
other,0,IN_Indianapolis_B6_B_2988
ebird,2,IN_Indianapolis_B7_B_2989
iNaturalist,1,IN_Indianapolis_B7_B_2989
other,0,IN_Indianapolis_B7_B_2989
ebird,669,IN_Indianapolis_B9_B_2991
iNaturalist,9,IN_Indianapolis_B9_B_2991
other,0,IN_Indianapolis_B9_B_2991
